"","MAP_PAR_ID","NHOOD","SUB_NHOOD"
"1241","153 0 4","Church","Church"
"1242","153 0 5-A","Church","Church"
"1243","153 0 5","Church","Church"
"1244","170 0 22","Church","Church"
"1245","170 0 21","Church","Church"
"1246","170 0 26","Church","Church"
"1247","170 0 25","Church","Church"
"1248","170 0 24","Church","Church"
"1249","153 0 24","Church","Church"
"1250","153 0 25","Church","Church"
"1251","153 0 26","Church","Church"
"1252","153 0 28","Church","Church"
"1253","153 0 27","Church","Church"
"1254","153 0 30","Church","Church"
"1255","153 0 31","Church","Church"
"1256","153 0 32","Church","Church"
"1257","153 0 19","Church","Church"
"1258","153 0 17","Church","Church"
"1259","153 0 29","Church","Church"
"1260","153 0 125","Church","Church"
"1261","153 0 124","Church","Church"
"1262","153 0 123","Church","Church"
"1263","153 0 95","Church","Church"
"1264","153 0 94","Church","Church"
"1265","153 0 93","Church","Church"
"1266","153 0 98","Church","Church"
"1267","153 0 99","Church","Church"
"1268","153 0 100","Church","Church"
"1269","153 0 101A","Church","Church"
"1270","153 0 91","Church","Church"
"1271","153 0 134D","Church","Kemp"
"1272","153 0 134B","Church","Kemp"
"1273","153 0 134A","Church","Kemp"
"1274","153 0 134","Church","Church"
"1275","153 0 121","Church","Church"
"1276","154 0 33","Church","Kemp"
"1277","154 0 26","Church","Kemp"
"1278","154 0 1","Church","Kemp"
"1279","154 0 27","Church","Kemp"
"1280","154 0 28A","Church","Kemp"
"1281","169 0 9","Church","Kemp"
"1282","169 0 10","Church","Kemp"
"1283","154 0 23A","Church","Kemp"
"1284","154 0 25","Church","Kemp"
"1285","154 0 28","Church","Kemp"
"1286","154 0 32","Church","Kemp"
"1287","154 0 31","Church","Kemp"
"1288","155 0 3C","Church","Kemp"
"1289","155 0 6A","Church","Kemp"
"1290","155 0 7&8A","Church","Kemp"
"1291","167 0 6",NA,NA
"1292","8 0 7A","Mohawk Tl","Mohawk Tl"
"1293","8 0 7","Mohawk Tl","Mohawk Tl"
"1294","8 0 5","Mohawk Tl","Mohawk Tl"
"1295","8 0 6","Mohawk Tl","Mohawk Tl"
"1296","UNKNOWN","Mohawk Tl","Mohawk Tl"
"1297","8 0 3","Mohawk Tl","Mohawk Tl"
"1298","8 0 2","Mohawk Tl","Mohawk Tl"
